isAdapt,round,chain,value
true,0,0,1.0
true,0,1,0.9921259842519685
true,0,2,0.984251968503937
true,0,3,0.9763779527559056
true,0,4,0.968503937007874
true,0,5,0.9606299212598425
true,0,6,0.952755905511811
true,0,7,0.9448818897637795
true,0,8,0.937007874015748
true,0,9,0.9291338582677166
true,0,10,0.9212598425196851
true,0,11,0.9133858267716536
true,0,12,0.905511811023622
true,0,13,0.8976377952755905
true,0,14,0.889763779527559
true,0,15,0.8818897637795275
true,0,16,0.8740157480314961
true,0,17,0.8661417322834646
true,0,18,0.8582677165354331
true,0,19,0.8503937007874016
true,0,20,0.84251968503937
true,0,21,0.8346456692913385
true,0,22,0.8267716535433071
true,0,23,0.8188976377952756
true,0,24,0.8110236220472441
true,0,25,0.8031496062992126
true,0,26,0.7952755905511811
true,0,27,0.7874015748031497
true,0,28,0.7795275590551181
true,0,29,0.7716535433070866
true,0,30,0.7637795275590551
true,0,31,0.7559055118110236
true,0,32,0.7480314960629921
true,0,33,0.7401574803149606
true,0,34,0.7322834645669292
true,0,35,0.7244094488188977
true,0,36,0.7165354330708661
true,0,37,0.7086614173228346
true,0,38,0.7007874015748031
true,0,39,0.6929133858267716
true,0,40,0.6850393700787402
true,0,41,0.6771653543307087
true,0,42,0.6692913385826772
true,0,43,0.6614173228346457
true,0,44,0.6535433070866141
true,0,45,0.6456692913385826
true,0,46,0.6377952755905512
true,0,47,0.6299212598425197
true,0,48,0.6220472440944882
true,0,49,0.6141732283464567
true,0,50,0.6062992125984252
true,0,51,0.5984251968503937
true,0,52,0.5905511811023622
true,0,53,0.5826771653543307
true,0,54,0.5748031496062992
true,0,55,0.5669291338582677
true,0,56,0.5590551181102362
true,0,57,0.5511811023622047
true,0,58,0.5433070866141733
true,0,59,0.5354330708661418
true,0,60,0.5275590551181102
true,0,61,0.5196850393700787
true,0,62,0.5118110236220472
true,0,63,0.5039370078740157
true,0,64,0.49606299212598426
true,0,65,0.4881889763779528
true,0,66,0.48031496062992124
true,0,67,0.47244094488188976
true,0,68,0.4645669291338583
true,0,69,0.4566929133858268
true,0,70,0.44881889763779526
true,0,71,0.4409448818897638
true,0,72,0.4330708661417323
true,0,73,0.4251968503937008
true,0,74,0.41732283464566927
true,0,75,0.4094488188976378
true,0,76,0.4015748031496063
true,0,77,0.3937007874015748
true,0,78,0.3858267716535433
true,0,79,0.3779527559055118
true,0,80,0.3700787401574803
true,0,81,0.36220472440944884
true,0,82,0.3543307086614173
true,0,83,0.3464566929133858
true,0,84,0.33858267716535434
true,0,85,0.33070866141732286
true,0,86,0.3228346456692913
true,0,87,0.31496062992125984
true,0,88,0.30708661417322836
true,0,89,0.2992125984251969
true,0,90,0.29133858267716534
true,0,91,0.28346456692913385
true,0,92,0.2755905511811024
true,0,93,0.2677165354330709
true,0,94,0.25984251968503935
true,0,95,0.25196850393700787
true,0,96,0.2440944881889764
true,0,97,0.23622047244094488
true,0,98,0.2283464566929134
true,0,99,0.2204724409448819
true,0,100,0.2125984251968504
true,0,101,0.2047244094488189
true,0,102,0.1968503937007874
true,0,103,0.1889763779527559
true,0,104,0.18110236220472442
true,0,105,0.1732283464566929
true,0,106,0.16535433070866143
true,0,107,0.15748031496062992
true,0,108,0.14960629921259844
true,0,109,0.14173228346456693
true,0,110,0.13385826771653545
true,0,111,0.12598425196850394
true,0,112,0.11811023622047244
true,0,113,0.11023622047244094
true,0,114,0.10236220472440945
