"locations","counts","expectedCounts","covariates"
0,90,107.8117626,12.98838
1,20,50.65173855,12.46795
2,58,106.4644656,12.46795
3,43,94.26178339,13.02562
4,52,141.87639,12.85675
5,24,65.35675678,12.44253
6,33,69.51146155,11.81678
7,32,79.72860856,11.80099
8,92,151.7749672,11.85418143
9,55,95.18273766,12.3419
10,71,136.5213252,12.45099125
11,42,101.2479922,11.8790775
12,31,101.354265,12.0699
13,26,76.8840148,11.86726
14,30,72.29144557,11.63906182
15,28,70.08743107,12.57471
16,47,109.0112141,11.696105
17,103,82.84338831,12.09315
18,22,62.97813489,11.66233733
19,73,115.767975,11.21903846
20,59,83.23950629,11.785655
21,79,98.85606892,11.79269
22,43,89.83286102,10.69132
23,52,59.94739591,10.94180286
24,56,76.01619673,11.01093667
25,25,64.15755355,10.47059828
26,52,95.06259308,10.37042629
27,59,108.4147804,9.937880883
28,61,113.3642467,10.50100438
29,61,162.4027084,11.071015
30,25,71.29408039,11.41918667
31,85,121.6871983,12.133045
32,97,124.8580729,10.33547727
33,26,91.80457796,11.69019
34,64,133.628773,12.39713
35,81,144.0034214,11.518648
36,32,67.0684465,12.192945
37,28,78.88626114,12.60092
38,88,132.9443919,11.10435
39,49,81.6852524,11.82222
40,46,92.4483948,12.98021
41,64,89.97452287,12.935715
42,61,124.024789,12.58579
43,63,131.5387203,13.03503
44,75,101.8820678,12.86559
45,110,133.2946767,11.927575
46,50,78.1784338,11.48299
47,84,80.26871335,11.84681833
48,163,116.9850308,12.15281
49,74,87.88914811,11.71255
50,81,89.00355024,13.15964
51,140,76.02909322,12.66981
52,129,104.8321771,12.80631
53,57,65.87118839,12.918925
54,47,61.7889814,12.27762
55,122,91.80183109,12.23237
56,86,112.8995098,13.60057
57,74,70.95011394,12.86436
58,52,76.63532366,13.07825
59,92,116.2229898,13.26433
60,154,113.6238476,12.70548333
61,42,77.64949084,13.02471
62,66,90.6388707,13.60057
63,54,83.78928391,13.95496
64,105,82.69451379,12.49631
65,117,116.692566,12.4860675
66,48,78.64422206,13.83689
67,43,70.10672474,13.49018
68,32,57.56155796,13.49018
69,77,72.22578016,13.88531
70,73,97.17811732,13.83689
71,116,124.9210041,11.80041
72,46,66.4343545,13.94831
73,167,132.3411561,14.59839
74,79,89.98630422,13.67502
