isAdapt,round,chain,value
true,0,0,1.0
true,0,1,0.8571428571428571
true,0,2,0.7142857142857143
true,0,3,0.5714285714285714
true,0,4,0.42857142857142855
true,0,5,0.2857142857142857
true,0,6,0.14285714285714285
true,1,0,1.0
true,1,1,0.9431587821847611
true,1,2,0.869171961195539
true,1,3,0.1130759324756053
true,1,4,0.07937806886956461
true,1,5,0.05345100332561038
true,1,6,0.02840447905025321
true,2,0,1.0
true,2,1,0.3376451530980491
true,2,2,0.175049469091246
true,2,3,0.09408352381229985
true,2,4,0.06316369003976056
true,2,5,0.019894349017165743
true,2,6,0.009851901445109829
true,3,0,1.0
true,3,1,0.5468769240693432
true,3,2,0.2620267856537041
true,3,3,0.11036116404720545
true,3,4,0.060354257652717694
true,3,5,0.037276782039561134
true,3,6,0.006789734701117414
true,4,0,1.0
true,4,1,0.3698170751568447
true,4,2,0.17516231182446151
true,4,3,0.08273496510961584
true,4,4,0.02108200227952692
true,4,5,0.007641946298596368
true,4,6,0.0031995101361160746
true,5,0,1.0
true,5,1,0.4183275292026528
true,5,2,0.18460530771867872
true,5,3,0.0841071672785949
true,5,4,0.019304213733786997
true,5,5,0.006284902646001084
true,5,6,0.0019365473911608895
true,6,0,1.0
true,6,1,0.2827526207601137
true,6,2,0.09009161519650262
true,6,3,0.02366652531189117
true,6,4,0.007935907881771207
true,6,5,0.0025407491089943232
true,6,6,0.0010421732459860676
true,7,0,1.0
true,7,1,0.37368765859417497
true,7,2,0.12447910513343924
true,7,3,0.0314971711210777
true,7,4,0.007940929926871301
true,7,5,0.0028194507104026957
true,7,6,8.936670888005565E-4
true,8,0,1.0
true,8,1,0.3598288534385894
true,8,2,0.12808676365688978
true,8,3,0.041365291237157285
true,8,4,0.011365160856113924
true,8,5,0.0031327922093894772
true,8,6,8.328147456761857E-4
false,9,0,1.0
false,9,1,0.3673481845404456
false,9,2,0.13307406706611954
false,9,3,0.04275427948909441
false,9,4,0.010395753591685363
false,9,5,0.0028857865319963294
false,9,6,7.998656939448785E-4
