isAdapt,round,chain,value
true,0,0,1.0
true,0,1,0.9473684210526315
true,0,2,0.8947368421052632
true,0,3,0.8421052631578947
true,0,4,0.7894736842105263
true,0,5,0.7368421052631579
true,0,6,0.6842105263157895
true,0,7,0.631578947368421
true,0,8,0.5789473684210527
true,0,9,0.5263157894736842
true,0,10,0.47368421052631576
true,0,11,0.42105263157894735
true,0,12,0.3684210526315789
true,0,13,0.3157894736842105
true,0,14,0.2631578947368421
true,0,15,0.21052631578947367
true,0,16,0.15789473684210525
true,0,17,0.10526315789473684
true,0,18,0.05263157894736842
true,1,0,1.0
true,1,1,0.5944800357803031
true,1,2,0.5476952753018677
true,1,3,0.39686531374737694
true,1,4,0.3814757524888796
true,1,5,0.3638970522111931
true,1,6,0.3475724324921815
true,1,7,0.3287719260913632
true,1,8,0.22290935129012052
true,1,9,0.20234155365782666
true,1,10,0.18886469953150523
true,1,11,0.17673007984963082
true,1,12,0.16382311705451594
true,1,13,0.14835030104147914
true,1,14,0.13262465525431277
true,1,15,0.0476299186133536
true,1,16,0.03125607217803286
true,1,17,0.020869295415356835
true,1,18,0.011087793884719258
true,2,0,1.0
true,2,1,0.5827021925121264
true,2,2,0.5452399272055203
true,2,3,0.4769687834471625
true,2,4,0.3905587292002269
true,2,5,0.3438521845253709
true,2,6,0.3133080648832364
true,2,7,0.2727245710027422
true,2,8,0.20053288743448328
true,2,9,0.11953247807168525
true,2,10,0.09500673404569374
true,2,11,0.0774233547494789
true,2,12,0.05977647686793873
true,2,13,0.034580813338350384
true,2,14,0.02393184585833741
true,2,15,0.012496305727031892
true,2,16,0.008318447613878574
true,2,17,0.005430392175497385
true,2,18,0.0027726745544744648
true,3,0,1.0
true,3,1,0.7555415674499372
true,3,2,0.46910419558639627
true,3,3,0.36603308155273945
true,3,4,0.247008661141472
true,3,5,0.17909751348436154
true,3,6,0.12316238808273695
true,3,7,0.08585180522852721
true,3,8,0.07199761823342106
true,3,9,0.061858756379442166
true,3,10,0.050410077652667605
true,3,11,0.03867881385403122
true,3,12,0.02879242681560116
true,3,13,0.015368149441678696
true,3,14,0.005766318781121119
true,3,15,0.00397198112235462
true,3,16,0.0028225899953537403
true,3,17,0.0018118233389292887
true,3,18,9.067900139257445E-4
true,4,0,1.0
true,4,1,0.5488649894287481
true,4,2,0.3883242868313387
true,4,3,0.27814203805175447
true,4,4,0.16761038259585265
true,4,5,0.1362879578592239
true,4,6,0.10720165633335295
true,4,7,0.0854676067188679
true,4,8,0.07373870363202825
true,4,9,0.06452681942251591
true,4,10,0.05160910417248031
true,4,11,0.04064898971023338
true,4,12,0.029479787024145523
true,4,13,0.018008288833184984
true,4,14,0.009965020045437235
true,4,15,0.00469168286980186
true,4,16,0.0020703616498608758
true,4,17,9.310441819804466E-4
true,4,18,4.319728177737309E-4
true,5,0,1.0
true,5,1,0.6277065934876732
true,5,2,0.4426638750501139
true,5,3,0.32535059163301516
true,5,4,0.23287648164950484
true,5,5,0.16644322322183736
true,5,6,0.13147585466963205
true,5,7,0.10007693830565538
true,5,8,0.07423717762778063
true,5,9,0.062351944537435706
true,5,10,0.048457448686017444
true,5,11,0.035902312353040325
true,5,12,0.023947030549856845
true,5,13,0.012728745910807691
true,5,14,0.005470916510376461
true,5,15,0.0023937595528786496
true,5,16,9.656440447149587E-4
true,5,17,5.432449250821738E-4
true,5,18,2.5138953288834015E-4
true,6,0,1.0
true,6,1,0.6648632828817025
true,6,2,0.4886867220932907
true,6,3,0.3577083190992949
true,6,4,0.2418915143981475
true,6,5,0.17604276587110146
true,6,6,0.12817168599615747
true,6,7,0.09768501978553591
true,6,8,0.08188099301189154
true,6,9,0.06544289984876038
true,6,10,0.045105254675583774
true,6,11,0.030888131960542787
true,6,12,0.02012974116210788
true,6,13,0.011080980949663605
true,6,14,0.005463284489741335
true,6,15,0.002533935158044256
true,6,16,9.744225147288794E-4
true,6,17,4.8643782520665495E-4
true,6,18,1.9073317800407085E-4
true,7,0,1.0
true,7,1,0.7076581259106635
true,7,2,0.5382883871067977
true,7,3,0.39357269615689416
true,7,4,0.2895763977578807
true,7,5,0.21168187903683736
true,7,6,0.1542699574693649
true,7,7,0.11438251797935774
true,7,8,0.08879587649894663
true,7,9,0.07235619248465243
true,7,10,0.05876669906424673
true,7,11,0.045865058955214144
true,7,12,0.030688495982133763
true,7,13,0.017390806572458402
true,7,14,0.008552873739552689
true,7,15,0.003774717534001652
true,7,16,0.0015321443021959118
true,7,17,5.031895362457178E-4
true,7,18,1.6176480016391148E-4
false,8,0,1.0
false,8,1,0.6981205741608665
false,8,2,0.5001756807341208
false,8,3,0.34820404120983267
false,8,4,0.2492948530774605
false,8,5,0.1780357237192623
false,8,6,0.1311404943215826
false,8,7,0.10270029331279418
false,8,8,0.08336940299968498
false,8,9,0.0678417412843918
false,8,10,0.05357653152018963
false,8,11,0.036061288175804715
false,8,12,0.01921728278170205
false,8,13,0.009868016876470907
false,8,14,0.0050572584832166085
false,8,15,0.0023903517210121295
false,8,16,0.001051418126006869
false,8,17,4.4367827144591623E-4
false,8,18,1.643848639003132E-4
