isAdapt,round,chain,value
true,0,0,1.0
true,0,1,0.8571428571428571
true,0,2,0.7142857142857143
true,0,3,0.5714285714285714
true,0,4,0.42857142857142855
true,0,5,0.2857142857142857
true,0,6,0.14285714285714285
true,1,0,1.0
true,1,1,0.42362388966045655
true,1,2,0.360728517801961
true,1,3,0.3070937584541549
true,1,4,0.10035468018138477
true,1,5,0.06506971485210834
true,1,6,0.03412174929002222
true,2,0,1.0
true,2,1,0.7860837407537946
true,2,2,0.5622005646056537
true,2,3,0.26975485993083403
true,2,4,0.18193440631598573
true,2,5,0.10498715187682214
true,2,6,0.022294354250549788
true,3,0,1.0
true,3,1,0.5353022540138861
true,3,2,0.3319153070244416
true,3,3,0.19868549535636032
true,3,4,0.10787256294516313
true,3,5,0.04069290518458434
true,3,6,0.014798906340457193
true,4,0,1.0
true,4,1,0.6259939315872484
true,4,2,0.4290070242973981
true,4,3,0.1174133324367939
true,4,4,0.05117695690253065
true,4,5,0.01716597224578407
true,4,6,0.007431986857236675
true,5,0,1.0
true,5,1,0.5276849643046199
true,5,2,0.2923149752135373
true,5,3,0.15433375552824669
true,5,4,0.0869122960032497
true,5,5,0.042932624752791144
true,5,6,0.009836004912004452
true,6,0,1.0
true,6,1,0.5456507503757978
true,6,2,0.26813945223558633
true,6,3,0.15825893129086085
true,6,4,0.07431324717082345
true,6,5,0.02997474270008748
true,6,6,0.008042301733280124
true,7,0,1.0
true,7,1,0.5182225053785107
true,7,2,0.2736185295266064
true,7,3,0.15200690802257671
true,7,4,0.08411797105163572
true,7,5,0.0351376470963635
true,7,6,0.011679515584822428
true,8,0,1.0
true,8,1,0.4892776031683505
true,8,2,0.25478605612413624
true,8,3,0.14074649896142352
true,8,4,0.07744851106164469
true,8,5,0.03326211544282877
true,8,6,0.009419284158256725
false,9,0,1.0
false,9,1,0.5062277283368064
false,9,2,0.2614595800437491
false,9,3,0.15812080088517816
false,9,4,0.08859356461649386
false,9,5,0.03662749996808928
false,9,6,0.010305835541746786
