locations,counts,expectedCounts,covariates
0,9,1.4,1.075643127
1,39,8.7,1.075643127
2,11,3,0.196285242
3,9,2.5,2.248120306
4,15,4.3,0.196285242
5,8,2.4,2.248120306
6,26,8.1,0.196285242
7,7,2.3,-0.2433937
8,6,2,-0.2433937
9,20,6.6,1.075643127
10,13,4.4,-0.2433937
11,5,1.8,1.075643127
12,3,1.1,0.196285242
13,8,3.3,2.248120306
14,17,7.8,-0.2433937
15,9,4.6,1.075643127
16,2,1.1,0.196285242
17,7,4.2,-0.2433937
18,9,5.5,-0.2433937
19,7,4.4,0.196285242
20,16,10.5,-0.2433937
21,31,22.7,1.075643127
22,11,8.8,0.196285242
23,7,5.6,-0.2433937
24,19,15.5,-1.122751585
25,15,12.5,-1.122751585
26,7,6,-0.2433937
27,10,9,-0.2433937
28,16,14.4,0.196285242
29,11,10.2,0.196285242
30,5,4.8,-0.2433937
31,3,2.9,2.248120306
32,7,7,0.196285242
33,8,8.5,-0.2433937
34,11,12.3,-0.2433937
35,9,10.1,-1.269311232
36,11,12.7,0.196285242
37,8,9.4,-1.122751585
38,6,7.2,1.075643127
39,4,5.3,-1.269311232
40,10,18.8,-1.122751585
41,8,15.8,1.075643127
42,2,4.3,1.075643127
43,6,14.6,-1.269311232
44,19,50.7,-1.122751585
45,3,8.2,-0.2433937
46,2,5.6,-1.122751585
47,3,9.3,-1.122751585
48,28,88.7,-1.269311232
49,6,19.6,-1.122751585
50,1,3.4,-1.122751585
51,1,3.6,-1.269311232
52,1,5.7,-1.122751585
53,1,7,-1.122751585
54,0,4.2,1.075643127
55,0,1.8,0.196285242
